PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09334	14742251	-2.584473	-0.013810	9.408439	-0.033991	0.032721	-0.003412	39.978643363	116.338923947	46.127298
09335	14742276	-2.746069	-0.019806	9.549378	-0.036828	0.038387	-0.000192	39.978643362	116.338923948	46.127202
09336	14742301	-2.776457	0.033600	9.617394	-0.035138	0.026396	-0.003551	39.978643361	116.338923949	46.127108
09337	14742326	-2.711408	0.039507	9.507017	-0.043300	0.023948	-0.007802	39.978643466	116.338923495	46.121788
09338	14742351	-2.659096	-0.037474	9.480180	-0.045279	0.022282	-0.005622	39.978643465	116.338923495	46.121686
09339	14742376	-2.652176	-0.048397	9.458861	-0.040404	0.023329	-0.002833	39.978643464	116.338923496	46.121584
09340	14742401	-2.636881	-0.029008	9.426999	-0.032322	0.021327	-0.001390	39.978643463	116.338923496	46.121482
09341	14742426	-2.627303	-0.029138	9.457611	-0.035226	0.016305	0.004350	39.978643462	116.338923496	46.121558
09342	14742451	-2.606520	-0.004233	9.425767	-0.034373	0.015919	-0.000398	39.978643461	116.338923497	46.121456
09343	14742476	-2.595504	-0.024879	9.412409	-0.030991	0.015859	-0.003439	39.978643460	116.338923497	46.121354
09344	14742501	-2.612150	-0.019501	9.460309	-0.035068	0.020695	-0.005603	39.978643459	116.338923498	46.121252
09345	14742526	-2.599668	-0.019398	9.424388	-0.031306	0.020167	-0.002755	39.978643458	116.338923498	46.121150
09346	14742551	-2.572067	-0.026212	9.409744	-0.037964	0.019890	-0.004932	39.978643457	116.338923498	46.121047
09347	14742576	-2.614737	-0.021984	9.388454	-0.036493	0.022924	-0.004363	39.978643456	116.338923499	46.120944
09348	14742601	-2.654879	-0.019507	9.464284	-0.030471	0.019003	-0.004190	39.978643455	116.338923499	46.120842
09349	14742626	-2.688054	-0.019635	9.498849	-0.032216	0.016902	-0.005454	39.978643454	116.338923500	46.119605
09350	14742651	-2.646691	-0.026506	9.490867	-0.035590	0.017129	-0.007419	39.978643453	116.338923500	46.119502
09351	14742676	-2.606709	-0.045730	9.477525	-0.041731	0.012244	-0.009651	39.978643452	116.338923500	46.119399
09352	14742701	-2.606478	-0.004168	9.405808	-0.041714	0.014964	-0.009277	39.978643451	116.338923501	46.119296
09353	14742726	-2.665922	-0.036001	9.458898	-0.040260	0.014348	-0.003827	39.978643450	116.338923501	46.119193
09354	14742751	-2.695096	-0.103660	9.511876	-0.036363	0.012664	-0.010237	39.978643449	116.338923502	46.119091
09355	14742776	-2.627363	-0.052558	9.462849	-0.033872	0.007302	-0.010212	39.978643448	116.338923502	46.118988
09356	14742801	-2.563875	-0.071649	9.414923	-0.041071	0.008062	-0.006825	39.978643447	116.338923502	46.118886
09357	14742826	-2.533431	-0.046797	9.391089	-0.038050	0.008231	-0.007989	39.978643446	116.338923503	46.119668
09358	14742851	-2.496150	-0.056294	9.353816	-0.039184	0.016607	-0.005187	39.978643445	116.338923503	46.119565
09359	14742876	-2.538793	-0.053433	9.323200	-0.036941	0.015287	-0.004484	39.978643444	116.338923504	46.119462
09360	14742901	-2.685171	-0.057886	9.425544	-0.033805	0.020756	-0.005157	39.978643443	116.338923504	46.119358
09361	14742926	-2.712957	-0.029444	9.546714	-0.033382	0.012338	-0.010717	39.978643442	116.338923504	46.119257
09362	14742951	-2.639766	-0.008642	9.490934	-0.038351	0.009678	-0.011814	39.978643441	116.338923505	46.119154
09363	14742976	-2.598412	-0.011316	9.477645	-0.047536	0.012667	-0.007319	39.978643440	116.338923505	46.119052
09364	14743001	-2.541542	0.042734	9.372733	-0.043328	0.012688	-0.009848	39.978643439	116.338923506	46.118949
09365	14743026	-2.598125	-0.031508	9.356495	-0.047542	0.015356	-0.008950	39.978643438	116.338923506	46.119732
09366	14743051	-2.671119	-0.012191	9.351196	-0.037819	0.013466	-0.007498	39.978643437	116.338923507	46.119628
09367	14743076	-2.630288	-0.154447	9.471834	-0.032976	0.014311	-0.009774	39.978643436	116.338923507	46.119525
09368	14743101	-2.606622	-0.057963	9.437571	-0.032127	0.005424	-0.009194	39.978643435	116.338923507	46.119421
09369	14743126	-2.551504	-0.066253	9.432250	-0.043598	0.015907	-0.005849	39.978643434	116.338923508	46.119318
09370	14743151	-2.609430	-0.088305	9.449455	-0.045413	0.017582	-0.007620	39.978643433	116.338923508	46.119214
09371	14743176	-2.609505	-0.104818	9.449382	-0.042064	0.019848	-0.003843	39.978643432	116.338923509	46.119111
09372	14743201	-2.599665	-0.082620	9.400239	-0.036436	0.014493	-0.006546	39.978643431	116.338923509	46.119007
09373	14743226	-2.605174	-0.108660	9.376193	-0.042096	0.012615	-0.006151	39.978643430	116.338923509	46.117784
09374	14743251	-2.631456	-0.079884	9.422838	-0.033507	0.010210	-0.005707	39.978643429	116.338923510	46.117679
09375	14743276	-2.645193	-0.062007	9.416238	-0.028972	0.014603	-0.006865	39.978643428	116.338923510	46.117573
09376	14743301	-2.636990	-0.052514	9.452204	-0.034334	0.012425	-0.009595	39.978643427	116.338923511	46.117468
09377	14743326	-2.594286	-0.106105	9.428091	-0.028756	0.016828	-0.013931	39.978643426	116.338923511	46.117362
09378	14743351	-2.620135	0.034486	9.381983	-0.031835	0.021170	-0.003013	39.978643425	116.338923511	46.117257
09379	14743376	-2.618016	-0.193118	9.510299	-0.030683	0.015308	-0.006689	39.978643424	116.338923512	46.117151
09380	14743401	-2.639871	-0.103523	9.469333	-0.028335	0.016178	-0.010991	39.978643423	116.338923512	46.117045
09381	14743426	-2.519658	-0.108618	9.348293	-0.034635	0.018610	-0.002089	39.978643422	116.338923513	46.118536
09382	14743451	-2.504148	-0.050396	9.252706	-0.048302	0.022882	-0.000510	39.978643421	116.338923513	46.118431
09383	14743476	-2.465386	-0.128426	9.130060	-0.050777	0.024587	0.003663	39.978643420	116.338923513	46.118324
09384	14743501	-2.419747	-0.122714	9.079549	-0.044918	0.026305	0.004835	39.978643419	116.338923514	46.118214
