PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
03817	35499274	-3.558726	13.240987	12.262628	0.335815	3.792527	-0.284282	39.979380367	116.338914734	46.092010
03818	35499299	-5.634342	14.893072	14.372998	0.082498	3.837927	-0.138327	39.979380380	116.338914734	46.094186
03819	35499324	-8.707836	13.626140	15.013415	-0.127750	3.725772	-0.038050	39.979380394	116.338914735	46.096407
03820	35499349	-10.870304	11.284892	13.813382	-0.203935	3.640062	-0.039688	39.979380408	116.338914735	46.098684
03821	35499374	-10.667697	10.305054	14.155500	-0.291801	3.518825	-0.084310	39.979380422	116.338914735	46.101041
03822	35499399	-10.201399	8.762230	14.118809	-0.380121	3.321468	-0.153572	39.979380437	116.338914734	46.103426
03823	35499424	-9.378242	6.891711	15.252271	-0.459821	3.177698	-0.240450	39.979380452	116.338914733	46.105863
03824	35499449	-5.828297	14.803221	18.316252	-0.662273	3.038247	-0.100510	39.979380468	116.338914732	46.108353
03825	35499474	-8.066648	16.333167	30.557684	-1.581881	2.847212	0.362519	39.979380487	116.338914731	46.084217
03826	35499499	-18.762047	8.216110	33.382691	-1.702288	2.607767	0.402630	39.979380504	116.338914730	46.086922
03827	35499524	-21.678646	4.309994	27.229149	-1.577250	2.410216	0.182413	39.979380523	116.338914730	46.089791
03828	35499549	-17.259665	6.251447	22.326840	-1.624466	2.103005	0.012262	39.979380541	116.338914729	46.092795
03829	35499574	-13.842121	6.067227	20.830997	-1.858403	1.599542	-0.036620	39.979380560	116.338914728	46.095767
03830	35499599	-11.641302	1.453184	17.382185	-1.835867	1.263383	-0.146097	39.979380579	116.338914728	46.098955
03831	35499624	-9.442553	-1.867164	17.655786	-1.620259	1.031926	-0.398112	39.979380599	116.338914728	46.102203
03832	35499649	-6.629321	-1.610277	15.539529	-1.437179	0.887602	-0.610281	39.979380619	116.338914729	46.105495
